,featureNum,trainAcc_xgb,testAcc_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,testAcc_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,testAcc_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
0,1,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47
1,2,0.9377568995889607,0.7277701778385773,0.6087551299589603,0.3707250341997264,141700125074584.8,0.5525543159130946,0.5403556771545828,0.7086183310533516,0.5362517099863201,172504500090798.94,0.8543746330005872,0.7140902872777017,0.5868673050615595,0.3789329685362517,73930500038913.89
2,3,0.9994128009395185,0.9247606019151847,0.09165526675786594,0.08071135430916553,55447875029185.336,0.7604227833235467,0.7236662106703147,0.32147742818057456,0.2913816689466484,135539250071341.97,0.9923664122137404,0.9179206566347469,0.12311901504787962,0.09575923392612859,49287000025942.55
3,4,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9859072225484439,0.9849521203830369,0.015047879616963064,0.015047879616963064,49287000025942.5,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,12321750006485.639
4,5,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.9894304169113329,0.9945280437756497,0.005471956224350205,0.005471956224350205,6160875003242.8125,1.0,0.9794801641586868,0.02051983584131327,0.02051983584131327,18482625009728.45
5,6,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
6,7,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,6160875003242.822,0.9876688197298884,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,18482625009728.45
7,8,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,6160875003242.823,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
8,9,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,6160875003242.825,0.9864944216089254,0.9863201094391245,0.013679890560875513,0.013679890560875513,43126125022699.69,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
9,10,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,6160875003242.823,0.9864944216089254,0.9863201094391245,0.013679890560875513,0.013679890560875513,43126125022699.69,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
10,11,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,18482625009728.45,0.9718144450968879,0.9740082079343365,0.025991792065663474,0.025991792065663474,86252250045399.38,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637
11,12,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,12321750006485.637,0.9635936582501468,0.9630642954856361,0.036935704514363885,0.036935704514363885,86252250045399.38,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
12,13,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,24643500012971.26,0.9541984732824428,0.9521203830369357,0.047879616963064295,0.047879616963064295,86252250045399.38,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
13,14,1.0,0.9753761969904241,0.03283173734610123,0.027359781121751026,18482625009728.45,0.8802113916617733,0.8645690834473324,0.14774281805745554,0.13953488372093023,92413125048642.25,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
14,15,1.0,0.9767441860465116,0.027359781121751026,0.024623803009575923,18482625009728.445,0.8690546095126248,0.8481532147742818,0.16826265389876882,0.1573187414500684,92413125048642.28,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,24643500012971.26
15,16,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8661186142102173,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,18482625009728.45
16,17,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.8661186142102173,0.8467852257181943,0.16963064295485636,0.15868673050615595,92413125048642.28,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,24643500012971.26
17,18,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,18482625009728.45,0.8661186142102173,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
18,19,1.0,0.9753761969904241,0.03283173734610123,0.027359781121751026,18482625009728.45,0.8661186142102173,0.8454172366621067,0.21203830369357046,0.17373461012311903,154021875081070.4,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,24643500012971.26
19,20,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,18482625009728.45,0.8655314151497357,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,18482625009728.45
20,21,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,24643500012971.26,0.8661186142102173,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
21,22,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,24643500012971.26,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
22,23,1.0,0.9726402188782489,0.03556771545827633,0.030095759233926128,24643500012971.26,0.8661186142102173,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
23,24,1.0,0.9726402188782489,0.03556771545827633,0.030095759233926128,24643500012971.26,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,24643500012971.26
24,25,1.0,0.9726402188782489,0.03556771545827633,0.030095759233926128,24643500012971.26,0.8661186142102173,0.8454172366621067,0.2243502051983584,0.17783857729138167,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
25,26,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,12321750006485.637,0.8661186142102173,0.8454172366621067,0.2243502051983584,0.17783857729138167,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
26,27,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,18482625009728.45,0.8661186142102173,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
27,28,1.0,0.9712722298221614,0.036935704514363885,0.03146374829001368,24643500012971.26,0.8661186142102173,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45
28,29,1.0,0.9712722298221614,0.03283173734610123,0.030095759233926128,18482625009728.45,0.8667058132706987,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,24643500012971.26
